Unnamed: 0,state,total exports,beef,pork,poultry,dairy,fruits fresh,fruits proc,total fruits,veggies fresh,veggies proc,total veggies,corn,wheat,cotton
0,Alabama,1390.63,34.4,10.6,481,4.06,8,17.1,25.11,5.5,8.9,14.33,34.9,70,317.61
1,Alaska,13.31,0.2,0.1,0,0.19,0,0,0,0.6,1,1.56,0,0,0
2,Arizona,1463.17,71.3,17.9,0,105.48,19.3,41,60.27,147.5,239.4,386.91,7.3,48.7,423.95
3,Arkansas,3586.02,53.2,29.4,562.9,3.53,2.2,4.7,6.88,4.4,7.1,11.45,69.5,114.5,665.44
4,California,16472.88,228.7,11.1,225.4,929.95,2791.8,5944.6,8736.4,803.2,1303.5,2106.79,34.6,249.3,1064.95
5,Colorado,1851.33,261.4,66,14,71.94,5.7,12.2,17.99,45.1,73.2,118.27,183.2,400.5,0
6,Connecticut,259.62,1.1,0.1,6.9,9.49,4.2,8.9,13.1,4.3,6.9,11.16,0,0,0
7,Delaware,282.19,0.4,0.6,114.7,2.3,0.5,1,1.53,7.6,12.4,20.03,26.9,22.9,0
8,Florida,3764.09,42.6,0.9,56.9,66.31,438.2,933.1,1371.36,171.9,279,450.86,3.5,1.8,78.24
9,Georgia,2860.84,31,18.9,630.4,38.38,74.6,158.9,233.51,59,95.8,154.77,57.8,65.4,1154.07
